epoch,step,train_loss
0,49,-1.341761589050293
1,99,-5.650016784667969
1,149,-5.025040626525879
2,199,-2.015744924545288
2,249,-5.38255500793457
3,299,-3.2487010955810547
3,349,3.152726650238037
4,399,-2.548100471496582
4,449,-3.819739580154419
5,499,-3.1619701385498047
5,549,-4.220890522003174
6,599,-4.512493133544922
6,649,-4.868803977966309
7,699,-5.347816467285156
7,749,-6.216188430786133
8,799,-6.090367317199707
8,849,-3.541944980621338
9,899,-3.884566307067871
9,949,-4.318437576293945
10,999,-4.730748176574707
10,1049,-5.118315696716309
11,1099,-5.564111232757568
11,1149,-6.071724891662598
12,1199,-6.6926093101501465
12,1249,-7.376169204711914
13,1299,-7.325309753417969
13,1349,1.9722115961167044e+35
14,1399,1.8388900095050136e+35
14,1449,1.6552118941160845e+35
15,1499,1.81523644158638e+35
15,1549,1.8584015290874014e+35
